,accuracy,precision,recall,f1
48,0.44837851018003005,0.3000235658925049,0.44837851018003005,0.34224048544254265
49,0.4499227861990491,0.30144950234176643,0.4499227861990491,0.3442212217844493
50,0.44912016905758523,0.30109329237949417,0.44912016905758523,0.3426724338949721
51,0.4506339659446499,0.3031175854862309,0.4506339659446499,0.34484663961506595
52,0.4361665379769984,0.2771454450457125,0.4361665379769984,0.3313523086585303
53,0.4416324623074735,0.2817520542599621,0.4416324623074735,0.33735988098325703
54,0.44358312675255007,0.28319344989056694,0.44358312675255007,0.3395950430871185
55,0.45146706221806804,0.29101615153706506,0.45146706221806804,0.34859444508794746
56,0.4518328118015199,0.29430010665217876,0.4518328118015199,0.3508721928848349
57,0.45362092087617345,0.2942474529969173,0.45362092087617345,0.351389306575606
58,0.45140610395415937,0.29339260832706343,0.45140610395415937,0.3474873940208142
59,0.4396411590197911,0.2841851449788158,0.4396411590197911,0.3353326347676951
60,0.44201853131222824,0.2855826252665173,0.44201853131222824,0.3375080581249439
61,0.4416324623074735,0.2845527367045214,0.4416324623074735,0.3364255818996733
62,0.44024058194822613,0.2837092421325026,0.44024058194822613,0.3347997290746361
63,0.44564554801479256,0.28746604881027693,0.44564554801479256,0.34095910946321983
64,0.4445076604218312,0.2861772058274271,0.4445076604218312,0.3390815511041291
65,0.44342057138212704,0.28666727069405934,0.44342057138212704,0.33852384294103105
66,0.4445889381070427,0.28687836090275803,0.4445889381070427,0.3398877880638617
67,0.44750477506400616,0.2891759048649859,0.44750477506400616,0.34252611394413623
68,0.43905189580200754,0.2832613955342286,0.43905189580200754,0.3334038923658047
69,0.436918356565205,0.2807339448584893,0.436918356565205,0.3313512198148727
70,0.4339618807656358,0.2774770293740718,0.4339618807656358,0.32783664305541843
71,0.43448002600885927,0.2779094974789101,0.43448002600885927,0.3277776612939707
72,0.4380664038688178,0.28084035246617906,0.4380664038688178,0.3317545371344572
73,0.43794448734100055,0.2807352040128872,0.43794448734100055,0.33136438042465316
74,0.4363697321900272,0.28052404530411057,0.4363697321900272,0.32987261818695535
75,0.44249603771284596,0.2859075543151907,0.44249603771284596,0.33664652824769326
76,0.4380867232901207,0.2829671311693258,0.4380867232901207,0.33174974384545497
77,0.43169626529036453,0.2779089761619424,0.43169626529036453,0.3247085697288592
78,0.4276628601617426,0.2733718014882349,0.4276628601617426,0.32018145892606986
79,0.4282927622221319,0.27430808877709656,0.4282927622221319,0.3210300083587406
