,accuracy,precision,recall,f1
58,0.5140508798309424,0.5067665248959691,0.5140508798309424,0.5025986633531326
59,0.5145283862315602,0.5069622714387367,0.5145283862315602,0.5029347418356642
60,0.51565611411387,0.5082854912435997,0.51565611411387,0.5039565887284209
61,0.5176169382695981,0.5104969989319653,0.5176169382695981,0.5059656028162952
62,0.516529849229894,0.5076280095333212,0.516529849229894,0.5041328269889972
63,0.5268013166985004,0.5177634921211417,0.5268013166985004,0.5147118297509344
64,0.5309464786442882,0.5219403595065186,0.5309464786442882,0.5188195857292643
65,0.5290262933311659,0.5228494683866016,0.5290262933311659,0.5179655594850825
66,0.5333441703580282,0.5256344091142433,0.5333441703580282,0.5215766789717611
67,0.534746210427927,0.5279587223613132,0.534746210427927,0.5228125540137175
68,0.5349392449303044,0.5279618908788155,0.5349392449303044,0.5232300305668413
69,0.5388202543991547,0.5324266054475941,0.5388202543991547,0.5276171927420026
70,0.5414414597472264,0.5353452354958488,0.5414414597472264,0.5304508463422088
71,0.5419697647011014,0.534345703386669,0.5419697647011014,0.5303815973307657
72,0.544082984516601,0.5370300545903214,0.544082984516601,0.5323387645739067
73,0.5440525053846467,0.5370185389784999,0.5440525053846467,0.5322218772987707
74,0.542701263868005,0.5371049389225212,0.542701263868005,0.5314148009009172
75,0.5426809444467021,0.5377821698212794,0.5426809444467021,0.5311611897314468
76,0.543138131426017,0.53859916960658,0.543138131426017,0.5315940013750946
77,0.5423456739952046,0.5382421766054702,0.5423456739952046,0.5310907566317534
78,0.5442150607550696,0.5404164442900132,0.5442150607550696,0.5331923340313549
79,0.5425488682082334,0.5377719563756329,0.5425488682082334,0.5310613099028249
